uf,municipio,ibge,bairro,cep_inicio,cep_fim,qtd_ceps
RJ,Angra dos Reis,3300100,Aeroporto,23934-500,23934-695,38
RJ,Angra dos Reis,3300100,Água Santa,23915-500,23915-510,9
RJ,Angra dos Reis,3300100,Área Rural de Angra dos Reis,23959-899,23959-899,1
RJ,Angra dos Reis,3300100,Areal,23932-000,23932-170,33
RJ,Angra dos Reis,3300100,Ariró,23941-000,23941-038,7
RJ,Angra dos Reis,3300100,Balneário,23906-000,23906-280,32
RJ,Angra dos Reis,3300100,Banqueta,23933-600,23933-630,4
RJ,Angra dos Reis,3300100,Biscaia,23916-760,23916-760,1
RJ,Angra dos Reis,3300100,BNH,23914-000,23914-075,18
RJ,Angra dos Reis,3300100,Bonfim,23909-070,23909-100,4
RJ,Angra dos Reis,3300100,Bracuí,23943-000,23943-144,37
RJ,Angra dos Reis,3300100,Caetés,23917-500,23917-510,2
RJ,Angra dos Reis,3300100,Camorim,23912-400,23912-580,38
RJ,Angra dos Reis,3300100,Camorim Pequeno,23912-000,23912-075,17
RJ,Angra dos Reis,3300100,Campo Belo,23932-400,23932-715,63
RJ,Angra dos Reis,3300100,Cantagalo,23919-500,23919-520,3
RJ,Angra dos Reis,3300100,Caputera I,23915-600,23915-610,2
RJ,Angra dos Reis,3300100,Caputera II,23915-700,23915-700,1
RJ,Angra dos Reis,3300100,Centro,23900-010,23900-970,80
RJ,Angra dos Reis,3300100,Cidade da Bíblia,23919-000,23919-000,1
RJ,Angra dos Reis,3300100,Colégio Naval,23909-000,23909-900,2
RJ,Angra dos Reis,3300100,Encruzo da Enseada,23931-400,23931-470,9
RJ,Angra dos Reis,3300100,Enseada,23931-000,23931-070,7
RJ,Angra dos Reis,3300100,Frade,23946-000,23946-445,79
RJ,Angra dos Reis,3300100,Gambôa do Belém,23936-000,23936-215,21
RJ,Angra dos Reis,3300100,Gambôa do Bracuí,23944-000,23944-060,7
RJ,Angra dos Reis,3300100,Garatucaia,23918-500,23918-580,21
RJ,Angra dos Reis,3300100,Grataú,23945-000,23945-000,1
RJ,Angra dos Reis,3300100,Itanema,23940-000,23940-000,1
RJ,Angra dos Reis,3300100,Japuíba,23934-000,23934-220,45
RJ,Angra dos Reis,3300100,Lambicada,23913-000,23913-140,12
RJ,Angra dos Reis,3300100,Maciéis,23916-810,23916-810,1
RJ,Angra dos Reis,3300100,Marinas,23907-200,23907-260,7
RJ,Angra dos Reis,3300100,Mombaça,23911-000,23911-000,1
RJ,Angra dos Reis,3300100,Monsuaba,23916-000,23916-205,40
RJ,Angra dos Reis,3300100,Monte Castelo,23910-300,23910-320,3
RJ,Angra dos Reis,3300100,Morro da Boa Vista,23952-000,23952-070,9
RJ,Angra dos Reis,3300100,Morro da Caixa DÁgua,23903-500,23903-611,22
RJ,Angra dos Reis,3300100,Morro da Carioca,23902-300,23902-300,1
RJ,Angra dos Reis,3300100,Morro da Cruz,23905-010,23905-020,2
RJ,Angra dos Reis,3300100,Morro da Fortaleza,23902-000,23902-000,1
RJ,Angra dos Reis,3300100,Morro da Glória,23904-600,23904-610,2
RJ,Angra dos Reis,3300100,Morro da Glória II,23904-700,23904-720,3
RJ,Angra dos Reis,3300100,Morro do Abel,23902-160,23902-210,6
RJ,Angra dos Reis,3300100,Morro do Bulé,23902-480,23902-480,1
RJ,Angra dos Reis,3300100,Morro do Carmo,23903-000,23903-200,23
RJ,Angra dos Reis,3300100,Morro do Moreno,23913-300,23913-430,14
RJ,Angra dos Reis,3300100,Morro do Perez,23904-400,23904-470,8
RJ,Angra dos Reis,3300100,Morro do Santo Antônio,23902-600,23902-730,14
RJ,Angra dos Reis,3300100,Morro do Tatu,23904-300,23904-310,2
RJ,Angra dos Reis,3300100,Nova Angra,23933-000,23933-970,80
RJ,Angra dos Reis,3300100,Paraíso,23916-700,23916-710,2
RJ,Angra dos Reis,3300100,Parque Belém,23935-000,23935-480,115
RJ,Angra dos Reis,3300100,Parque das Palmeiras,23906-400,23906-570,18
RJ,Angra dos Reis,3300100,Parque Mambucaba,23953-080,23955-578,366
RJ,Angra dos Reis,3300100,Parque Perequê,23953-000,23953-570,56
RJ,Angra dos Reis,3300100,Piraquara,23947-000,23947-000,1
RJ,Angra dos Reis,3300100,Ponta da Ribeira,23930-000,23930-000,1
RJ,Angra dos Reis,3300100,Ponta do Sapê,23930-700,23930-700,1
RJ,Angra dos Reis,3300100,Ponta Leste,23916-790,23916-793,2
RJ,Angra dos Reis,3300100,Pontal,23942-300,23942-375,19
RJ,Angra dos Reis,3300100,Pontal do Partido,23942-000,23942-000,1
RJ,Angra dos Reis,3300100,Portogalo,23917-000,23917-010,2
RJ,Angra dos Reis,3300100,Praia Brava,23950-000,23950-970,19
RJ,Angra dos Reis,3300100,Praia da Chácara,23906-800,23906-825,5
RJ,Angra dos Reis,3300100,Praia da Ribeira,23937-000,23937-190,23
RJ,Angra dos Reis,3300100,Praia das Goiabas,23951-000,23951-000,1
RJ,Angra dos Reis,3300100,Praia do Anil,23904-000,23904-100,12
RJ,Angra dos Reis,3300100,Praia do Jardim,23907-000,23907-900,2
RJ,Angra dos Reis,3300100,Praia do Machado,23913-010,23913-050,7
RJ,Angra dos Reis,3300100,Praia Grande,23909-200,23909-210,2
RJ,Angra dos Reis,3300100,Praia Vermelha,23950-700,23950-710,3
RJ,Angra dos Reis,3300100,Retiro,23930-500,23930-500,1
RJ,Angra dos Reis,3300100,Santa Rita do Bracuí,23943-500,23943-600,33
RJ,Angra dos Reis,3300100,Sapinhatuba I,23910-000,23910-000,1
RJ,Angra dos Reis,3300100,Sapinhatuba III,23910-600,23910-675,16
RJ,Angra dos Reis,3300100,Serra DÁgua,23938-000,23938-000,1
RJ,Angra dos Reis,3300100,Sertão do Bracuí,23943-145,23943-311,25
RJ,Angra dos Reis,3300100,Tanguá,23909-400,23909-901,2
RJ,Angra dos Reis,3300100,Usina Nuclear,23948-000,23948-000,1
RJ,Angra dos Reis,3300100,Verolme,23914-300,23914-970,61
RJ,Angra dos Reis,3300100,Vila da Petrobrás,23915-000,23915-190,20
RJ,Angra dos Reis,3300100,Vila do Abraão,23968-959,23968-959,1
RJ,Angra dos Reis,3300100,Vila do Abraão (Abraão),23968-970,23968-971,2
RJ,Angra dos Reis,3300100,Vila dos Pescadores,23918-000,23918-000,1
RJ,Angra dos Reis,3300100,Vila Histórica de Mambucaba,23951-300,23951-450,16
RJ,Angra dos Reis,3300100,Vila Velha,23909-300,23909-300,1
RJ,Angra dos Reis,3300100,Village,23914-160,23914-295,30
RJ,Aperibé,3300159,Centro,28495-959,28495-970,2
RJ,Aperibé,3300159,Ponte Seca,28495-972,28495-972,1
RJ,Aperibé,3300159,Porto das Barcas,28495-971,28495-971,1
RJ,Araruama,3300209,Alto da Boa Vista,28979-320,28979-347,10
RJ,Araruama,3300209,Areal,28976-000,28976-582,101
RJ,Araruama,3300209,Atlântico,28972-600,28972-681,28
RJ,Araruama,3300209,Aurora,28986-670,28986-820,18
RJ,Araruama,3300209,Balneário,28974-720,28975-015,66
RJ,Araruama,3300209,Bananeiras,28971-590,28971-848,76
RJ,Araruama,3300209,Boa Perna,28979-830,28980-038,36
RJ,Araruama,3300209,Canal,28972-310,28972-352,15
RJ,Araruama,3300209,Centro,28971-050,28988-970,379
RJ,Araruama,3300209,Cerâmica,28980-490,28980-540,6
RJ,Araruama,3300209,Clube dos Engenheiros,28984-870,28985-186,38
RJ,Araruama,3300209,Coqueiral,28982-230,28982-475,49
RJ,Araruama,3300209,Fazendinha,28983-880,28984-490,109
RJ,Araruama,3300209,Fonte Limpa,28977-780,28978-005,18
RJ,Araruama,3300209,Haway,28979-000,28979-036,14
RJ,Araruama,3300209,Hospício,28978-730,28978-890,40
RJ,Araruama,3300209,Itatiquara,28985-530,28985-726,56
RJ,Araruama,3300209,Japão,28980-050,28980-172,28
RJ,Araruama,3300209,Jardim Califórnia,28987-110,28987-328,54
RJ,Araruama,3300209,Jardim São Paulo,28980-600,28980-816,28
RJ,Araruama,3300209,Lagoinha,28983-640,28983-872,30
RJ,Araruama,3300209,Marrecas,28975-170,28975-430,2
RJ,Araruama,3300209,Monte Belo,28970-001,28970-005,2
RJ,Araruama,3300209,Monteiro,28988-190,28988-275,19
RJ,Araruama,3300209,Morro Grande,28975-970,28975-970,1
RJ,Araruama,3300209,Morro Moreno,28977-270,28977-395,24
RJ,Araruama,3300209,Norival Carvalho,28989-410,28989-550,29
RJ,Araruama,3300209,Nossa Senhora de Nazareth,28979-440,28979-506,23
RJ,Araruama,3300209,Novo Horizonte,28970-250,28970-890,109
RJ,Araruama,3300209,Outeiro,28978-030,28978-465,87
RJ,Araruama,3300209,Palmeiras,28986-890,28986-890,1
RJ,Araruama,3300209,Paracatu,28986-070,28986-524,70
RJ,Araruama,3300209,Paraty,28982-480,28983-380,101
RJ,Araruama,3300209,Parque das Acácias,28980-830,28981-045,24
RJ,Araruama,3300209,Parque Hotel,28981-370,28981-626,65
RJ,Araruama,3300209,Parque Mataruna,28979-690,28979-825,46
RJ,Araruama,3300209,Pernambuca,28972-003,28972-200,15
RJ,Araruama,3300209,Picada,28984-520,28984-856,57
RJ,Araruama,3300209,Ponta do Capim,28974-220,28974-240,5
RJ,Araruama,3300209,Ponte dos Leites,28976-590,28977-130,69
RJ,Araruama,3300209,Pontinha,28981-740,28982-180,67
RJ,Araruama,3300209,Praça da Bandeira,28979-540,28979-684,38
RJ,Araruama,3300209,Praia Seca,28970-972,28970-972,1
RJ,Araruama,3300209,Regamé,28977-500,28977-668,25
RJ,Araruama,3300209,Reserva,28974-560,28974-560,1
RJ,Araruama,3300209,Rio do Limão,28981-055,28981-335,58
RJ,Araruama,3300209,Salinas,28974-010,28974-010,1
RJ,Araruama,3300209,Santana,28988-650,28988-730,17
RJ,Araruama,3300209,São Vicente de Paula,28980-970,28980-970,1
RJ,Araruama,3300209,Solar,28989-000,28989-060,12
RJ,Araruama,3300209,Tomé,28973-020,28973-167,51
RJ,Araruama,3300209,Três Vendas,28980-260,28980-455,40
RJ,Araruama,3300209,Veneza,28972-690,28972-738,17
RJ,Araruama,3300209,Viaduto,28978-470,28978-680,41
RJ,Araruama,3300209,Vila Canaã,28985-220,28985-445,40
RJ,Araruama,3300209,Vila Capri,28981-630,28981-730,21
RJ,Araruama,3300209,Vila Cássia,28972-750,28972-849,34
RJ,Araruama,3300209,XV de Novembro,28979-350,28979-431,28
RJ,Areal,3300225,Areal,25845-959,25845-970,2
RJ,Armação dos Búzios,3300233,Albatroz,28952-620,28952-880,27
RJ,Armação dos Búzios,3300233,Alto da Marina,28957-890,28958-050,4
RJ,Armação dos Búzios,3300233,Alto de Búzios,28952-160,28952-480,17
RJ,Armação dos Búzios,3300233,Armação,28950-240,28950-297,20
RJ,Armação dos Búzios,3300233,Arpoador,28956-000,28956-176,23
RJ,Armação dos Búzios,3300233,Baía Formosa,28959-000,28959-250,6
RJ,Armação dos Búzios,3300233,Bosque de Geribá,28954-000,28954-160,33
RJ,Armação dos Búzios,3300233,Brava,28950-380,28950-440,13
RJ,Armação dos Búzios,3300233,Canto,28951-610,28951-650,9
RJ,Armação dos Búzios,3300233,Capão,28954-500,28954-640,29
RJ,Armação dos Búzios,3300233,Caravelas,28958-720,28958-860,5
RJ,Armação dos Búzios,3300233,Cem Braças,28954-220,28954-970,58
RJ,Armação dos Búzios,3300233,Centro,28950-650,28950-970,53
RJ,Armação dos Búzios,3300233,Enseada do Gancho,28952-000,28952-015,2
RJ,Armação dos Búzios,3300233,Ferradura,28951-000,28951-497,72
RJ,Armação dos Búzios,3300233,Ferradurinha,28952-890,28953-022,9
RJ,Armação dos Búzios,3300233,Forno,28950-530,28950-640,12
RJ,Armação dos Búzios,3300233,Geribá,28953-030,28953-425,80
RJ,Armação dos Búzios,3300233,Golfe,28958-070,28958-190,5
RJ,Armação dos Búzios,3300233,Humaitá,28950-200,28950-233,12
RJ,Armação dos Búzios,3300233,João Fernandes,28950-001,28950-096,17
RJ,Armação dos Búzios,3300233,José Gonçalves,28958-220,28958-970,40
RJ,Armação dos Búzios,3300233,Malhada,28959-300,28959-385,2
RJ,Armação dos Búzios,3300233,Manguinhos,28953-430,28953-858,107
RJ,Armação dos Búzios,3300233,Marina,28957-520,28957-880,46
RJ,Armação dos Búzios,3300233,Ossos,28950-170,28950-191,8
RJ,Armação dos Búzios,3300233,Portal da Ferradura,28951-590,28951-605,6
RJ,Armação dos Búzios,3300233,Praia Rasa,28955-490,28955-890,60
RJ,Armação dos Búzios,3300233,Rasa,28956-190,28957-490,65
RJ,Armação dos Búzios,3300233,São José,28955-050,28955-480,46
RJ,Armação dos Búzios,3300233,Tartaruga,28951-790,28951-846,15
RJ,Armação dos Búzios,3300233,Tucuns,28954-650,28954-790,18
RJ,Armação dos Búzios,3300233,Vila Caranga,28951-730,28951-754,9
RJ,Armação dos Búzios,3300233,Vila Verde,28959-470,28959-890,43
RJ,Arraial do Cabo,3300258,Centro,28930-959,28930-970,2
RJ,Barra do Piraí,3300308,Área Rural de Barra do Piraí,27150-899,27150-899,1
RJ,Barra do Piraí,3300308,Areal,27150-000,27150-600,31
RJ,Barra do Piraí,3300308,Arthur Cataldi,27115-070,27115-560,11
RJ,Barra do Piraí,3300308,Belvedere,27113-076,27113-361,3
RJ,Barra do Piraí,3300308,Belvedere da Taquara,27113-070,27113-600,30
RJ,Barra do Piraí,3300308,Boa Sorte,27150-260,27150-595,12
RJ,Barra do Piraí,3300308,Boca do Mato,27143-000,27143-215,5
RJ,Barra do Piraí,3300308,Caieira São Pedro,27130-040,27130-530,10
RJ,Barra do Piraí,3300308,Caieira Velha,27130-600,27145-370,4
RJ,Barra do Piraí,3300308,Caixa DÁgua Velha,27135-153,27135-640,23
RJ,Barra do Piraí,3300308,Califórnia,27165-971,27165-971,1
RJ,Barra do Piraí,3300308,Campo Bom,27110-000,27110-025,2
RJ,Barra do Piraí,3300308,Cantão,27150-020,27150-570,18
RJ,Barra do Piraí,3300308,Careira Vermelha,27145-175,27145-185,2
RJ,Barra do Piraí,3300308,Carlos Queiroz,27140-060,27140-090,4
RJ,Barra do Piraí,3300308,Carvão,27145-100,27145-490,13
RJ,Barra do Piraí,3300308,Caueira Sao Pedro,27130-115,27130-730,2
RJ,Barra do Piraí,3300308,Centro,27110-400,27160-970,127
RJ,Barra do Piraí,3300308,Chácara Farani,27120-040,27120-440,22
RJ,Barra do Piraí,3300308,Chalet,27143-240,27143-360,13
RJ,Barra do Piraí,3300308,Coimbra,27115-140,27115-460,18
RJ,Barra do Piraí,3300308,Doutor Mesquita,27113-000,27113-570,13
RJ,Barra do Piraí,3300308,Grota Funda,27120-610,27120-636,14
RJ,Barra do Piraí,3300308,Ipiabás,27170-970,27170-970,1
RJ,Barra do Piraí,3300308,Ipiranga,27130-790,27130-830,5
RJ,Barra do Piraí,3300308,Lago Azul,27110-030,27110-560,9
RJ,Barra do Piraí,3300308,Maracanã,27140-000,27143-580,13
RJ,Barra do Piraí,3300308,Matadouro,27115-000,27115-970,27
RJ,Barra do Piraí,3300308,Metalúrgica,27110-330,27110-500,9
RJ,Barra do Piraí,3300308,Morro do Gama,27150-330,27150-520,21
RJ,Barra do Piraí,3300308,Morro do Paraíso,27123-180,27145-360,13
RJ,Barra do Piraí,3300308,Muqueca,27135-550,27140-510,43
RJ,Barra do Piraí,3300308,Nossa Senhora de Santana,27110-260,27113-610,33
RJ,Barra do Piraí,3300308,Novo México,27130-170,27130-200,3
RJ,Barra do Piraí,3300308,Oficina Velha,27110-235,27110-480,3
RJ,Barra do Piraí,3300308,Oficinas Velhas,27110-020,27110-490,28
RJ,Barra do Piraí,3300308,Parque Almirante,27113-620,27113-630,2
RJ,Barra do Piraí,3300308,Parque Santana,27143-110,27143-610,19
RJ,Barra do Piraí,3300308,Parque São Joaquim,27130-410,27130-470,5
RJ,Barra do Piraí,3300308,Parque São José,27113-350,27113-510,5
RJ,Barra do Piraí,3300308,Ponte do Andrade,27143-020,27143-570,6
RJ,Barra do Piraí,3300308,Ponte Preta,27110-080,27113-580,4
RJ,Barra do Piraí,3300308,Ponte Vermelha,27143-060,27143-100,5
RJ,Barra do Piraí,3300308,Química,27130-030,27130-590,40
RJ,Barra do Piraí,3300308,Represa,27135-270,27135-540,7
RJ,Barra do Piraí,3300308,Roseira,27143-370,27143-470,12
RJ,Barra do Piraí,3300308,Santana da Barra,27143-010,27143-560,13
RJ,Barra do Piraí,3300308,Santo Antônio,27115-100,27115-410,11
RJ,Barra do Piraí,3300308,Santo Cristo,27145-030,27145-460,15
RJ,Barra do Piraí,3300308,São João,27130-610,27140-490,21
RJ,Barra do Piraí,3300308,São José do Turvo,27165-970,27165-970,1
RJ,Barra do Piraí,3300308,São Luís,27120-380,27120-600,16
RJ,Barra do Piraí,3300308,Vale do Ipiranga,27120-325,27120-365,10
RJ,Barra do Piraí,3300308,Vargem Alegre,27155-970,27155-970,1
RJ,Barra do Piraí,3300308,Vargem Grande,27145-190,27145-450,17
RJ,Barra do Piraí,3300308,Vila Helena,27120-320,27120-530,24
RJ,Barra do Piraí,3300308,Vila Suíça,27120-240,27120-450,8
RJ,Barra Mansa,3300407,9 de Abril,27331-090,27335-550,22
RJ,Barra Mansa,3300407,Abelhas,27343-130,27347-530,16
RJ,Barra Mansa,3300407,Água Comprida,27321-580,27321-713,4
RJ,Barra Mansa,3300407,Ano Bom,27321-000,27325-780,114
RJ,Barra Mansa,3300407,Antônio Rocha,27340-650,27340-970,9
RJ,Barra Mansa,3300407,Apóstolo Paulo,27343-240,27343-460,9
RJ,Barra Mansa,3300407,Área Rural de Barra Mansa,27399-899,27399-899,1
